aqi,co,dew,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,wind_gust_combined,wind_speed_combined
82.26940639269407,2.0,25.0,66.0,4.0,12.0,32.0,70.0,1003.0,6.0,30.5,10.984000000000002,4.1
24.0,0.3,25.0,79.0,9.6,7.8,20.0,38.0,1005.5,2.0,28.5,10.984000000000002,2.5
56.0,0.3,24.5,85.5,6.0,4.9,17.0,53.0,1001.0,3.0,27.0,10.984000000000002,2.5
54.0,0.4,24.5,70.0,11.5,6.215806451612903,38.0,66.0,1007.5,4.0,30.0,10.984000000000002,2.0
82.26940639269407,0.2,24.0,78.0,5.5,6.215806451612903,12.0,43.0,1009.0,6.0,28.0,10.984000000000002,2.3
132.0,4.0,13.0,58.0,15.1,5.3,33.0,97.0,1017.0,4.6,21.5,10.984000000000002,2.5
63.0,5.0,7.0,52.0,10.1,6.0,21.0,67.0,1023.0,3.0,17.5,10.984000000000002,3.3
136.0,0.2,19.0,88.0,11.0,4.0,47.0,84.0,1017.0,2.0,21.0,10.984000000000002,2.5
190.0,12.0,9.0,59.0,16.5,3.3,79.0,178.0,1020.0,5.1,17.0,10.984000000000002,1.5
82.26940639269407,4.0,13.0,93.0,2.0,7.4,22.0,59.0,1018.3,4.0,14.0,10.984000000000002,2.3
82.26940639269407,0.3,14.0,82.0,7.8,3.7,30.0,64.0,1018.5,4.0,17.0,10.984000000000002,3.3
82.26940639269407,4.0,13.0,72.0,1.0,6.0,7.0,27.0,1018.0,5.0,18.0,10.984000000000002,3.8
82.26940639269407,2.0,25.0,83.0,3.2,8.2,42.0,59.0,1006.0,5.0,28.0,10.984000000000002,3.8
82.26940639269407,0.4,24.5,72.0,7.0,11.0,34.0,76.0,1002.5,6.0,30.0,10.984000000000002,2.8
34.0,0.2,25.0,74.0,7.0,9.0,22.0,44.0,1004.0,2.0,30.0,10.984000000000002,3.6
54.0,2.0,24.5,85.5,6.4,5.3,21.0,38.0,1003.0,4.0,27.0,10.984000000000002,2.5
29.0,0.2,24.0,68.0,7.0,6.215806451612903,26.0,55.0,1005.0,4.0,31.0,10.984000000000002,3.0
82.26940639269407,0.4,24.0,80.5,5.0,6.215806451612903,20.0,34.0,1009.0,5.0,27.0,10.984000000000002,1.8
176.0,0.3,16.0,69.0,21.1,4.0,53.0,113.0,1017.0,2.6,23.0,10.984000000000002,1.5
76.0,6.0,6.0,54.0,12.0,5.0,22.0,82.0,1023.0,3.0,15.0,10.984000000000002,3.0
127.0,0.3,19.0,85.5,11.5,4.0,47.0,85.0,1016.0,2.0,22.0,11.3,4.1
173.0,10.0,9.5,63.0,9.6,6.1,57.0,152.0,1019.0,4.0,16.0,10.984000000000002,2.5
82.26940639269407,0.3,15.0,93.0,4.2,2.0,57.0,127.0,1016.0,4.0,17.0,10.984000000000002,1.8
82.26940639269407,0.3,16.0,79.5,14.2,3.0,63.0,136.0,1015.0,5.0,20.5,10.984000000000002,2.0
82.26940639269407,3.0,15.0,87.0,3.0,5.0,16.0,61.0,1017.0,5.0,17.0,10.984000000000002,1.8
82.26940639269407,2.0,25.0,79.0,3.0,6.1,37.0,58.0,1005.0,5.0,28.0,10.984000000000002,3.8
82.26940639269407,0.2,25.0,70.0,8.0,9.0,35.0,76.0,1002.5,6.0,31.0,10.984000000000002,2.3
27.0,2.0,25.0,68.0,6.4,9.0,21.0,25.0,1003.0,2.0,30.5,10.984000000000002,3.3
31.0,0.4,25.0,88.0,5.1,5.3,14.0,25.0,1005.0,3.0,27.0,10.984000000000002,3.3
15.0,0.2,25.5,70.0,8.7,6.215806451612903,24.0,35.0,1004.0,4.0,31.0,10.984000000000002,3.0
82.26940639269407,3.0,20.5,71.0,0.5,6.215806451612903,18.0,62.0,1012.5,5.0,25.0,10.984000000000002,4.3
207.0,0.3,19.0,73.0,19.2,3.0,59.0,130.0,1017.5,2.0,24.0,10.984000000000002,1.2
146.0,7.0,8.0,66.5,16.0,4.0,44.0,122.0,1021.0,3.0,16.5,8.2,2.0
166.0,3.0,19.5,88.0,13.0,3.0,48.0,97.0,1016.0,2.0,21.5,10.984000000000002,1.8
157.0,10.0,6.5,60.0,9.0,3.3,50.0,137.0,1020.0,3.6,14.0,10.984000000000002,4.3
82.26940639269407,0.3,17.0,93.0,4.0,2.0,58.0,129.0,1018.0,4.0,19.0,10.984000000000002,1.5
82.26940639269407,0.3,18.5,83.0,13.3,3.0,45.0,92.0,1011.5,4.0,22.0,10.984000000000002,2.3
